Fracture Case : 25.61 %
Snakebite Case : 16.92 %
Clutch Case : 25.71 %
Sticker | Evil Geniuses | 2020 RMR : 0.0 %
Sticker | PGL | Antwerp 2022 : 0.0 %
Prisma 2 Case : 18.75 %
Recoil Case : 23.16 %
Sticker | FURIA | 2020 RMR : 0.0 %
Sticker | BIG | Antwerp 2022 : 0.0 %
Sticker | 100 Thieves | 2020 RMR : 0.0 %
Sticker | Vitality | 2020 RMR : 0.0 %
Sticker | Boom | 2020 RMR : 0.0 %
Sticker | Heroic | 2020 RMR : 0.0 %
Dreams & Nightmares Case : 36.25 %
Sticker | Ninjas in Pyjamas | 2020 RMR : 0.0 %
Sticker | Copenhagen Flames | Antwerp 2022 : 0.0 %
Sticker | Renegades | Antwerp 2022 : 0.0 %
Prisma Case : 20.89 %
Danger Zone Case : 56.88 %
Sticker | Liquid | 2020 RMR : 0.0 %
Sticker | Spirit | 2020 RMR : 0.0 %
Sticker | ESPADA | 2020 RMR : 0.0 %
Sticker | Renegades | 2020 RMR : 0.0 %
2020 RMR Legends : 10.06 %
Sticker | IEM | Rio 2022 : 0.0 %
Sticker | b1t | Stockholm 2021 : 0.0 %
Sticker | karrigan (Champion) | Antwerp 2022 : 0.0 %
Sticker | broky (Champion) | Antwerp 2022 : 10.0 %
Sticker | Perfecto | Stockholm 2021 : 0.0 %
Sticker | Gen.G | 2020 RMR : 0.0 %
Sticker | IHC Esports | Antwerp 2022 : 0.0 %
Sticker | North | 2020 RMR : 0.0 %
Sticker | GODSENT | 2020 RMR : 0.0 %
Spectrum 2 Case : 28.73 %
Sticker | Ninjas in Pyjamas | Antwerp 2022 : 10.0 %
Sticker | Vitality | Antwerp 2022 : 0.0 %
Sticker | Boombl4 | Stockholm 2021 : 0.0 %
Sticker | electroNic | Stockholm 2021 : 0.0 %
Sticker | OG | 2020 RMR : 0.0 %
Sticker | Outsiders | Antwerp 2022 : 0.0 %
Sticker | rain (Champion) | Antwerp 2022 : 0.0 %
Sticker | Nemiga | 2020 RMR : 0.0 %
Sticker | ropz (Champion) | Antwerp 2022 : 0.0 %
CS20 Case : 43.68 %
Sticker | BIG | 2020 RMR : 0.0 %
Antwerp 2022 Legends Sticker Capsule : 57.85 %
Horizon Case : 19.0 %
Antwerp 2022 Challengers Sticker Capsule : 59.91 %
Sticker | MIBR | Antwerp 2022 : 0.0 %
Antwerp 2022 Contenders Sticker Capsule : 56.6 %
Sticker | Twistzz (Champion) | Antwerp 2022 : 0.0 %
Sticker | ENCE | Antwerp 2022 : 0.0 %
2020 RMR Contenders : 9.47 %
Sticker | Fnatic | 2020 RMR : 0.0 %
Sticker | Natus Vincere | 2020 RMR : 0.0 %
Chroma 3 Case : 20.85 %
Sticker | s1mple | Stockholm 2021 : -2.78 %
Sticker | FURIA | Antwerp 2022 : 0.0 %
Sticker | Heroic | Antwerp 2022 : 0.0 %
Gamma 2 Case : 18.48 %
Sticker | Farlig | Antwerp 2022 : 0.0 %
Sticker | Outsiders | Rio 2022 : 0.0 %
Sticker | JOTA | Antwerp 2022 : 0.0 %
Sticker | TYLOO | 2020 RMR : 3.33 %
Sticker | forZe eSports | Antwerp 2022 : 0.0 %
2020 RMR Challengers : 10.06 %
Sticker | Evil Geniuses | Stockholm 2021 : 0.0 %
Sticker | misutaaa | Antwerp 2022 : 0.0 %
Sticker | sinnopsyy | Antwerp 2022 : 0.0 %
Sticker | chelo | Antwerp 2022 : 0.0 %
Antwerp 2022 Challengers Autograph Capsule : 43.57 %
Sticker | Magisk | Antwerp 2022 : 0.0 %
Antwerp 2022 Contenders Autograph Capsule : 54.17 %
Sticker | Fnatic | Rio 2022 : 0.0 %
Sticker | dupreeh | Antwerp 2022 : 0.0 %
Sticker | rigoN | Antwerp 2022 : 0.0 %
Sticker | Jerry | Antwerp 2022 : 0.0 %
Sticker | Bad News Eagles | Rio 2022 : 0.0 %
Rio 2022 Challengers Sticker Capsule : 4.48 %
Sticker | Tuurtle | Antwerp 2022 : 0.0 %
Sticker | apEX | Antwerp 2022 : 0.0 %
Sticker | GamerLegion | Rio 2022 : 0.0 %
Shadow Case : 13.87 %
Sticker | juanflatroo | Antwerp 2022 : 0.0 %
Sticker | BIG | Rio 2022 : 0.0 %
Sticker | dycha | Antwerp 2022 : 0.0 %
Sticker | gxx- | Antwerp 2022 : -6.25 %
Sticker | Evil Geniuses | Rio 2022 : 0.0 %
Sticker | SENER1 | Antwerp 2022 : 0.0 %
Sticker | blameF | Antwerp 2022 : 0.0 %
Sticker | JaCkz | Antwerp 2022 : 0.0 %
Sticker | k0nfig | Antwerp 2022 : 0.0 %
Sticker | 9z Team | Rio 2022 : 0.0 %
Sticker | zorte | Antwerp 2022 : 0.0 %
Sticker | Virtus.pro | 2020 RMR : 0.0 %
Sticker | Norwi | Antwerp 2022 : 0.0 %
Sticker | Zyphon | Antwerp 2022 : 0.0 %
Sticker | roeJ | Antwerp 2022 : 0.0 %
Sticker | IHC Esports | Rio 2022 : 0.0 %
